MedicoID,Gender,Firstname,Lastname,phone,Responsibility
Md-000001,male,Justine,Pittman,9425332190,Doctor
Md-000002,female,Casey,Keith,9464422296,Doctor
Md-000003,female,Christian,Mckenzie,8275412176,Doctor
Md-000004,female,Jana,Vargas,9245523933,Doctor
Md-000005,female,Jaclyn,Turner,9024603837,Doctor
Md-000006,female,Naomi,Hunter,9894943723,Doctor
Md-000007,female,Head,Olson,8035632737,Doctor
Md-000008,male,Montgomery,Massey,9845702160,Doctor
Md-000009,male,Laurie,White,9625863573,Doctor
Md-000010,female,Jackie,Hahn,9715842421,Doctor
Md-000011,female,Mattie,Hess,8235282447,Doctor
Md-000012,female,Barron,Giles,9144183179,Doctor
Md-000013,male,Lorene,Donovan,8515903429,Doctor
Md-000014,female,Kirkland,Kennedy,8805742245,Doctor
Md-000015,male,Farley,Hancock,8405833300,Doctor
Md-000016,male,Ruthie,Hale,9785683838,Doctor
Md-000017,female,Teri,Rosa,8565262075,Doctor
Md-000018,female,Huffman,Mcbride,8595872424,Doctor
Md-000019,male,Lindsay,Whitehead,8924493376,Doctor
Md-000020,female,Rush,Grimes,9564563383,Doctor
Md-000021,male,Blanche,Waters,8464382430,Doctor
Md-000022,female,Elva,Meyer,9235373431,Doctor
Md-000023,female,Neal,Carroll,8595082587,Doctor
Md-000024,male,Mayo,Gaines,9054403587,Doctor
Md-000025,male,Frederick,Davis,8434952541,Doctor
Md-000026,male,April,Sampson,8574242747,Doctor
Md-000027,female,Landry,Middleton,8665632629,Doctor
Md-000028,male,Franks,Ayers,9435763782,Doctor
Md-000029,male,Leah,Lindsey,9435273014,Doctor
Md-000030,female,Stephens,Bean,8235313042,Doctor
Md-000031,male,Jacobson,Willis,8635162183,Doctor
Md-000032,male,Whitney,Johnston,8455732280,Doctor
Md-000033,male,Dorothy,Compton,9414722102,Doctor
Md-000034,female,Hurley,Valentine,8994963230,Doctor
Md-000035,male,Violet,Good,8835573397,Doctor
Md-000036,female,Mcknight,Swanson,9105912069,Doctor
Md-000037,male,Bianca,Allen,9095673311,Doctor
Md-000038,female,Livingston,Wong,8944092720,Doctor
Md-000039,male,Craft,Durham,9955633203,Doctor
Md-000040,male,Kaye,Estrada,9614182640,Doctor
Md-000041,female,Connie,Ramirez,8875362228,Doctor
Md-000042,female,Kemp,Padilla,9734802401,Doctor
Md-000043,male,Vinson,Bowen,8644703394,Doctor
Md-000044,male,Lidia,Taylor,8005283269,Doctor
Md-000045,female,Cheryl,Atkinson,8394852435,Doctor
Md-000046,female,Casey,Stark,8825652916,Doctor
Md-000047,male,Curry,Carson,9984212789,Doctor
Md-000048,male,Mccray,Irwin,8275853259,Doctor
Md-000049,male,Cantrell,Baxter,9004063407,Doctor
Md-000050,male,Amanda,Rosario,9064632819,Doctor
Md-000051,female,Jensen,Garner,9385012844,Doctor
Md-000052,male,Leta,Leach,9505803566,Doctor
Md-000053,female,Manuela,Simmons,9545083654,Doctor
Md-000054,female,Frankie,Ferrell,9114032859,Doctor
Md-000055,female,Caldwell,Snow,9075453425,Doctor
Md-000056,male,Tania,Phelps,9064362895,Doctor
Md-000057,female,Garner,Young,9245792577,Doctor
Md-000058,male,French,Howe,8635632498,Doctor
Md-000059,male,Glenna,Hurst,8655352701,Doctor
Md-000060,female,Hatfield,Lynch,8725992489,Doctor
Md-000061,male,Rosalind,Greer,8125712279,Doctor
