ID,Address,Country,Birthdate,Email,Job,Prefix,First Name,Last Name,SSN,Sex,Blood,Phone
Pt-0-001,"6358 Barnes Landing Apt. 732, East Sarahmouth, AR 57214",Haiti,3/13/1983,katherineadams@example.org,Hospital doctor,Mr.,Garrett,Aguirre,760-03-9470,Male,B+,0341-4032-525
Pt-0-002,"699 Wu Falls, Denisechester, MO 99008",Timor-Leste,12/16/1980,xyork@example.net,Learning disability nurse,Mr.,Kara,White,318-05-6938,Male,O+,067-2974-512
Pt-0-003,"PSC 2502, Box 5566, APO AA 27229",Iran,8/6/1988,ithomas@example.net,"Doctor, hospital",Miss,Perry,Foster,265-06-9852,Female,O+,0245-4732-968
Pt-0-004,"906 John Creek Suite 815, North Gregory, KS 18241",Gambia,1/16/1993,jdiaz@example.net,"Nurse, adult",Mx.,Anne,Good,334-80-8752,Female,O-,0746-7303-876
Pt-0-005,"02347 Clark River, Stevensonview, IL 26969",Turkmenistan,8/3/2020,harrisalyssa@example.net,Paediatric nurse,Mr.,Matthew,Rivera,546-28-0144,Female,A+,0785-1231-549
Pt-0-006,"653 Moore Crossing, Nicoleberg, PA 00532",Gambia,10/31/1997,itaylor@example.com,"Nurse, children's",Dr.,Angela,Roberts,568-44-1403,Male,A-,0293-4220-158
Pt-0-007,"21465 Jarvis Points, Christyville, WV 56183",Suriname,12/29/2014,brownanita@example.org,"Doctor, general practice",Mr.,Marvin,Thomas,528-59-5859,Female,AB-,0375-2879-680
Pt-0-008,"3854 Nicholas Ridge, East Stephenbury, MT 97684",Italy,6/17/2004,sgreen@example.net,"Nurse, children's",Miss,Jacob,Crawford,144-38-3261,Female,AB-,0497-2018-205
Pt-0-009,"2250 Thomas Overpass Apt. 420, South Barbara, NH 41038",Iran,3/7/2020,veronica19@example.com,Learning disability nurse,Mr.,Kathy,Reyes,627-84-8046,Female,AB+,0447-6153-462
Pt-0-010,"2273 David Land Suite 180, Veronicahaven, NM 99427",Switzerland,1/10/2011,rramsey@example.org,Paediatric nurse,Mr.,Michael,Smith,778-68-3165,Male,O-,0662-5958-571
Pt-0-011,"2548 William Views, Holtfurt, NY 17354",Niue,9/12/1972,johnsonsarah@example.org,Paediatric nurse,Mr.,Eric,Brown,068-15-0884,Female,B-,0238-2843-184
Pt-0-012,"8098 Megan Islands, East Kristina, HI 11652",Sierra Leone,2/16/1981,jtaylor@example.net,"Nurse, adult",Mr.,Andrea,Hudson,399-19-2742,Female,A+,0444-1140-822
Pt-0-013,"02126 Martinez Summit, Smithhaven, PA 50667",Gibraltar,11/3/1973,elizabethyoung@example.com,"Doctor, hospital",Mx.,William,Peterson,226-06-7459,Male,AB+,0969-7437-013
Pt-0-014,"USS Lawson, FPO AA 63812",Luxembourg,12/7/1980,craig54@example.com,"Nurse, children's",Mrs.,Charles,Cortez,614-10-6762,Female,B-,0670-7810-180
Pt-0-015,"430 Eugene Passage, Alyssatown, ID 74319",Paraguay,12/25/2002,veronica36@example.net,"Doctor, general practice",Mr.,Manuel,Harrison,838-32-9280,Female,B+,0513-4933-207
Pt-0-016,"9082 Adam Corners, Lake Meganmouth, RI 40331",Romania,11/4/2014,tammydavis@example.net,Hospital doctor,Dr.,Denise,Wolf,527-35-1548,Male,B-,0710-3589-566
Pt-0-017,"212 Roberts Parkway, Youngview, WA 11354",Saudi Arabia,2/10/1996,smithlisa@example.com,Adult nurse,Mr.,Melissa,Maldonado,787-80-5512,Male,O+,0414-1429-843
Pt-0-018,"09874 Christine Course, New Jeremy, OH 93248",Montserrat,3/7/1985,parkeric@example.net,"Doctor, hospital",Mx.,Reginald,Reeves,519-57-0604,Male,A-,0430-9949-112
Pt-0-019,"20273 Ware Row Suite 432, East Elizabethland, NM 88120",Uruguay,10/10/1983,xadkins@example.com,Hospital doctor,Dr.,Rebecca,Burns,225-11-0598,Male,AB+,03-2576-860
