"Medico ID","Gender","First name","Last name","phone","Responsibility"
"Md-000001","male","Justine","Pittman","(942) 533-2190","Doctor"
"Md-000002","female","Casey","Keith","(946) 442-2296","Doctor"
"Md-000003","female","Christian","Mckenzie","(827) 541-2176","Doctor"
"Md-000004","female","Jana","Vargas","(924) 552-3933","Doctor"
"Md-000005","female","Jaclyn","Turner","(902) 460-3837","Doctor"
"Md-000006","female","Naomi","Hunter","(989) 494-3723","Doctor"
"Md-000007","female","Head","Olson","(803) 563-2737","Doctor"
"Md-000008","male","Montgomery","Massey","(984) 570-2160","Doctor"
"Md-000009","male","Laurie","White","(962) 586-3573","Doctor"
"Md-000010","female","Jackie","Hahn","(971) 584-2421","Doctor"
"Md-000011","female","Mattie","Hess","(823) 528-2447","Doctor"
"Md-000012","female","Barron","Giles","(914) 418-3179","Doctor"
"Md-000013","male","Lorene","Donovan","(851) 590-3429","Doctor"
"Md-000014","female","Kirkland","Kennedy","(880) 574-2245","Doctor"
"Md-000015","male","Farley","Hancock","(840) 583-3300","Doctor"
"Md-000016","male","Ruthie","Hale","(978) 568-3838","Doctor"
"Md-000017","female","Teri","Rosa","(856) 526-2075","Doctor"
"Md-000018","female","Huffman","Mcbride","(859) 587-2424","Doctor"
"Md-000019","male","Lindsay","Whitehead","(892) 449-3376","Doctor"
"Md-000020","female","Rush","Grimes","(956) 456-3383","Doctor"
"Md-000021","male","Blanche","Waters","(846) 438-2430","Doctor"
"Md-000022","female","Elva","Meyer","(923) 537-3431","Doctor"
"Md-000023","female","Neal","Carroll","(859) 508-2587","Doctor"
"Md-000024","male","Mayo","Gaines","(905) 440-3587","Doctor"
"Md-000025","male","Frederick","Davis","(843) 495-2541","Doctor"
"Md-000026","male","April","Sampson","(857) 424-2747","Doctor"
"Md-000027","female","Landry","Middleton","(866) 563-2629","Doctor"
"Md-000028","male","Franks","Ayers","(943) 576-3782","Doctor"
"Md-000029","male","Leah","Lindsey","(943) 527-3014","Doctor"
"Md-000030","female","Stephens","Bean","(823) 531-3042","Doctor"
"Md-000031","male","Jacobson","Willis","(863) 516-2183","Doctor"
"Md-000032","male","Whitney","Johnston","(845) 573-2280","Doctor"
"Md-000033","male","Dorothy","Compton","(941) 472-2102","Doctor"
"Md-000034","female","Hurley","Valentine","(899) 496-3230","Doctor"
"Md-000035","male","Violet","Good","(883) 557-3397","Doctor"
"Md-000036","female","Mcknight","Swanson","(910) 591-2069","Doctor"
"Md-000037","male","Bianca","Allen","(909) 567-3311","Doctor"
"Md-000038","female","Livingston","Wong","(894) 409-2720","Doctor"
"Md-000039","male","Craft","Durham","(995) 563-3203","Doctor"
"Md-000040","male","Kaye","Estrada","(961) 418-2640","Doctor"
"Md-000041","female","Connie","Ramirez","(887) 536-2228","Doctor"
"Md-000042","female","Kemp","Padilla","(973) 480-2401","Doctor"
"Md-000043","male","Vinson","Bowen","(864) 470-3394","Doctor"
"Md-000044","male","Lidia","Taylor","(800) 528-3269","Doctor"
"Md-000045","female","Cheryl","Atkinson","(839) 485-2435","Doctor"
"Md-000046","female","Casey","Stark","(882) 565-2916","Doctor"
"Md-000047","male","Curry","Carson","(998) 421-2789","Doctor"
"Md-000048","male","Mccray","Irwin","(827) 585-3259","Doctor"
"Md-000049","male","Cantrell","Baxter","(900) 406-3407","Doctor"
"Md-000050","male","Amanda","Rosario","(906) 463-2819","Doctor"
